Version;1
Sampling cycle;200us
Out count;1
Data count;89593
First index;6681978

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
6682505;46,250;GO
6682506;46,250;GO
6682507;46,250;GO
6682508;46,250;GO
6682509;46,250;GO
6682510;46,250;GO
6682511;46,250;GO
6682512;46,250;GO
6682513;46,250;GO
6682514;46,250;GO
6682515;46,250;GO
6682516;46,250;GO
6682517;46,250;GO
6682518;46,250;GO
6682519;46,250;GO
6682520;46,250;GO
6682521;46,250;GO
6682522;46,250;GO
6682523;46,250;GO
6682524;46,250;GO
6682525;46,250;GO
6682526;46,250;GO
6682527;46,250;GO
6682528;46,250;GO
6682529;46,250;GO
6682530;46,250;GO
6682531;46,250;GO
6682532;46,250;GO
6682533;46,250;GO
6682534;46,250;GO
6682535;46,250;GO
6682536;46,250;GO
6682537;46,250;GO
6682538;46,250;GO
6682539;46,250;GO
6682540;46,250;GO
6682541;46,250;GO
6682542;46,250;GO
6682543;46,250;GO
6682544;46,250;GO
6682545;46,250;GO
6682546;46,250;GO
6682547;46,250;GO
6682548;46,250;GO
6682549;46,250;GO
6682550;46,250;GO
6682551;46,250;GO
6682552;46,250;GO
6682553;46,250;GO
6682554;46,250;GO
6682555;46,250;GO
6682556;46,250;GO
6682557;46,250;GO
6682558;46,250;GO
6682559;46,250;GO
6682560;46,250;GO
6682561;46,250;GO
6682562;46,250;GO
6682563;46,250;GO
6682564;46,250;GO
6682565;46,250;GO
6682566;46,250;GO
6682567;46,250;GO
6682568;46,250;GO
6682569;46,250;GO
6682570;46,250;GO
6682571;46,250;GO
6682572;46,250;GO
6682573;46,250;GO
6682574;46,250;GO
6682575;46,250;GO
6682576;46,250;GO
6682577;46,250;GO
6682578;46,250;GO
6682579;46,250;GO
6682580;46,250;GO
6682581;46,250;GO
6682582;46,250;GO
6682583;46,250;GO
6682584;46,250;GO
6682585;46,250;GO
6682586;46,250;GO
6682587;46,250;GO
6682588;46,250;GO
6682589;46,250;GO
6682590;46,250;GO
6682591;46,250;GO
6682592;46,250;GO
6682593;46,250;GO
6682594;46,250;GO
6682595;46,250;GO
6682596;46,250;GO
6682597;46,250;GO
6682598;46,250;GO
6682599;46,250;GO
6682600;46,250;GO
6682601;46,250;GO
