Version;1
Sampling cycle;200us
Out count;1
Data count;89421
First index;995806

;OUT02
Display unit;0,001um
Upper limit;500,000um
Lower limit;-500,000um

Trigger count;OUT02(um);
996832;2,750;GO
996833;2,750;GO
996834;2,750;GO
996835;2,750;GO
996836;2,750;GO
996837;2,750;GO
996838;2,750;GO
996839;2,750;GO
996840;2,750;GO
996841;2,750;GO
996842;2,750;GO
996843;2,750;GO
996844;2,750;GO
996845;2,750;GO
996846;2,750;GO
996847;2,750;GO
996848;2,750;GO
996849;2,750;GO
996850;2,750;GO
996851;2,750;GO
996852;2,750;GO
996853;2,750;GO
996854;2,750;GO
996855;2,750;GO
996856;2,750;GO
996857;2,750;GO
996858;2,750;GO
996859;2,750;GO
996860;2,750;GO
996861;2,750;GO
996862;2,750;GO
996863;2,750;GO
996864;2,750;GO
996865;2,750;GO
996866;2,750;GO
996867;2,750;GO
996868;2,750;GO
996869;2,750;GO
996870;2,750;GO
996871;2,750;GO
996872;2,750;GO
996873;2,750;GO
996874;2,750;GO
996875;2,750;GO
996876;2,750;GO
996877;2,750;GO
996878;2,750;GO
996879;2,750;GO
996880;2,750;GO
996881;2,750;GO
996882;2,750;GO
996883;2,750;GO
996884;2,750;GO
996885;2,750;GO
996886;2,750;GO
996887;2,750;GO
996888;2,750;GO
996889;2,750;GO
996890;2,750;GO
996891;2,750;GO
996892;2,750;GO
996893;2,750;GO
996894;2,750;GO
996895;2,750;GO
996896;2,750;GO
996897;2,750;GO
996898;2,750;GO
996899;2,750;GO
996900;2,750;GO
996901;2,750;GO
996902;2,750;GO
996903;2,750;GO
996904;2,750;GO
996905;2,750;GO
996906;2,750;GO
996907;2,750;GO
996908;2,750;GO
996909;2,750;GO
996910;2,750;GO
996911;2,750;GO
996912;2,750;GO
996913;2,750;GO
996914;2,750;GO
996915;2,750;GO
996916;2,750;GO
996917;2,750;GO
996918;2,750;GO
996919;2,750;GO
996920;2,750;GO
996921;2,750;GO
996922;2,750;GO
996923;2,750;GO
